epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,11153.1,0.98503,0.75383,1.42687,0.80586,0.68347,0.77453,0.50388,1.18155,0.69038,1.6591,0.00505,0.00505,0.00505
102,11259.8,0.98934,0.76761,1.43184,0.80541,0.68293,0.77464,0.50426,1.18203,0.69058,1.6594,0.0050005,0.0050005,0.0050005
103,11366.2,0.98551,0.74908,1.42742,0.8069,0.68243,0.77499,0.5046,1.18273,0.69053,1.66,0.004951,0.004951,0.004951
104,11472.3,0.98892,0.74161,1.43276,0.79161,0.68971,0.77504,0.50447,1.18284,0.68951,1.65998,0.0049015,0.0049015,0.0049015
105,11578.4,0.98367,0.74447,1.42564,0.79053,0.69102,0.77507,0.5041,1.18363,0.68916,1.66041,0.004852,0.004852,0.004852
106,11684.7,0.98499,0.75748,1.42903,0.79162,0.68938,0.77491,0.5035,1.18345,0.68914,1.66015,0.0048025,0.0048025,0.0048025
107,11790.7,0.97695,0.74268,1.42356,0.79303,0.68932,0.7744,0.50358,1.18398,0.68901,1.66073,0.004753,0.004753,0.004753
108,11896.9,0.98511,0.74774,1.43083,0.79301,0.69063,0.77591,0.50324,1.18381,0.68883,1.66071,0.0047035,0.0047035,0.0047035
109,12002.7,0.98243,0.74436,1.42866,0.7906,0.69305,0.77454,0.50246,1.18345,0.6891,1.66068,0.004654,0.004654,0.004654
110,12108.6,0.9783,0.74913,1.42333,0.79035,0.6921,0.77394,0.50224,1.18341,0.68896,1.66083,0.0046045,0.0046045,0.0046045
111,12214.6,0.97832,0.73554,1.42175,0.79476,0.69266,0.77527,0.50285,1.18324,0.68894,1.66065,0.004555,0.004555,0.004555
112,12321,0.97787,0.73732,1.42003,0.78041,0.70809,0.77486,0.50261,1.18344,0.68905,1.66115,0.0045055,0.0045055,0.0045055
113,12426.8,0.97595,0.74301,1.4223,0.78166,0.70637,0.77504,0.50223,1.18362,0.68905,1.66152,0.004456,0.004456,0.004456
114,12533.1,0.97588,0.73953,1.4164,0.78206,0.70808,0.77501,0.50243,1.18392,0.68899,1.66176,0.0044065,0.0044065,0.0044065
115,12639.5,0.97205,0.7345,1.41995,0.7774,0.70809,0.77444,0.50216,1.18392,0.68912,1.66195,0.004357,0.004357,0.004357
116,12746.4,0.9742,0.73163,1.41962,0.77541,0.70925,0.7745,0.50213,1.18411,0.68893,1.66221,0.0043075,0.0043075,0.0043075
117,12853.6,0.97005,0.73001,1.41889,0.79004,0.69887,0.77432,0.5023,1.18395,0.68863,1.66225,0.004258,0.004258,0.004258
118,12959.9,0.96986,0.72214,1.41554,0.79151,0.69909,0.77482,0.50211,1.18416,0.68854,1.66263,0.0042085,0.0042085,0.0042085
119,13066.3,0.96793,0.72614,1.41422,0.79092,0.69966,0.77505,0.50228,1.18472,0.68763,1.66308,0.004159,0.004159,0.004159
